category,account_name,区分,勘定科目
資産,現金,資産,現金
資産,普通預金,資産,普通預金
資産,定期預金,資産,定期預金
資産,受取手形,資産,受取手形
資産,売掛金,資産,売掛金
資産,商品,資産,商品
資産,貯蔵品,資産,貯蔵品
資産,仮払金,資産,仮払金
資産,建物,資産,建物
資産,建物附属設備,資産,建物附属設備
資産,機械装置,資産,機械装置
資産,車両運搬具,資産,車両運搬具
資産,工具器具備品,資産,工具器具備品
資産,土地,資産,土地
資産,電話加入権,資産,電話加入権
資産,敷金,資産,敷金
資産,差入保証金,資産,差入保証金
資産,預託金,資産,預託金
資産,開業費,資産,開業費
資産,事業主貸,資産,事業主貸
負債,支払手形,負債,支払手形
負債,買掛金,負債,買掛金
負債,未払金,負債,未払金
負債,前受金,負債,前受金
負債,預り金,負債,預り金
負債,事業主借,負債,事業主借
資本,元入金,資本,元入金
売上,売上高,売上,売上高
売上,雑収入,売上,雑収入
売上原価,期首商品棚卸高,売上原価,期首商品棚卸高
売上原価,仕入高,売上原価,仕入高
売上原価,期末商品棚卸高,売上原価,期末商品棚卸高
経費,租税公課,経費,租税公課
経費,荷造運賃,経費,荷造運賃
経費,水道光熱費,経費,水道光熱費
経費,旅費交通費,経費,旅費交通費
経費,通信費,経費,通信費
経費,広告宣伝費,経費,広告宣伝費
経費,接待交際費,経費,接待交際費
経費,損害保険料,経費,損害保険料
経費,修繕費,経費,修繕費
経費,消耗品費,経費,消耗品費
経費,外注工賃,経費,外注工賃
経費,地代家賃,経費,地代家賃
経費,減価償却費,経費,減価償却費
経費,福利厚生費,経費,福利厚生費
経費,手形売却損,経費,手形売却損
経費,支払手数料,経費,支払手数料
経費,車両費,経費,車両費
経費,雑費,経費,雑費
経費,専従者給与,経費,専従者給与
